Dates,Prices
10/31/2020,1.01E+01
11/30/2020,1.03E+01
12/31/2020,1.10E+01
1/31/2021,1.09E+01
2/28/2021,1.09E+01
3/31/2021,1.09E+01
4/30/2021,1.04E+01
5/31/2021,9.84E+00
6/30/2021,1.00E+01
7/31/2021,1.01E+01
8/31/2021,1.03E+01
9/30/2021,1.02E+01
10/31/2021,1.01E+01
11/30/2021,1.12E+01
12/31/2021,1.14E+01
1/31/2022,1.15E+01
2/28/2022,1.18E+01
3/31/2022,1.15E+01
4/30/2022,1.07E+01
5/31/2022,1.07E+01
6/30/2022,1.04E+01
7/31/2022,1.05E+01
8/31/2022,1.04E+01
9/30/2022,1.08E+01
10/31/2022,1.10E+01
11/30/2022,1.16E+01
12/31/2022,1.16E+01
1/31/2023,1.21E+01
2/28/2023,1.17E+01
3/31/2023,1.20E+01
4/30/2023,1.15E+01
5/31/2023,1.12E+01
6/30/2023,1.09E+01
7/31/2023,1.14E+01
8/31/2023,1.11E+01
9/30/2023,1.15E+01
10/31/2023,1.18E+01
11/30/2023,1.22E+01
12/31/2023,1.28E+01
1/31/2024,1.26E+01
2/29/2024,1.24E+01
3/31/2024,1.27E+01
4/30/2024,1.21E+01
5/31/2024,1.14E+01
6/30/2024,1.15E+01
7/31/2024,1.16E+01
8/31/2024,1.15E+01
9/30/2024,1.18E+01
